Iteracion,Tamaño del archivo,Tiempo
1,10 KB,0.0059
2,10 KB,0.004
3,10 KB,8.0E-4
4,10 KB,0.0035
5,10 KB,0.0036
6,10 KB,0.0033
7,10 KB,0.0038
8,10 KB,0.0037
9,10 KB,0.0045
10,10 KB,8.0E-4
11,10 KB,0.0034
12,10 KB,0.0075
13,10 KB,0.0039
14,10 KB,9.0E-4
15,10 KB,0.0022
16,10 KB,0.0037
17,10 KB,0.0051
18,10 KB,0.0053
19,10 KB,0.0034
20,10 KB,0.0032
21,10 KB,0.0059
22,10 KB,0.0053
23,10 KB,0.0033
24,10 KB,0.0035
25,10 KB,0.0012
26,10 KB,0.0047
27,10 KB,0.0062
28,10 KB,0.0083
29,10 KB,0.0034
30,10 KB,0.0019
